moment,reaction,offensiveness,responsibility
13,24,1.96,-0.38
13,25,0.55,-0.48
13,26,0.99,2.79
13,27,4.04,-0.99
13,28,2.29,0.44
13,29,1.32,-0.23
13,30,0.05,0.01
13,31,1.98,0.92
13,32,0.26,0.65
13,33,-0.64,-0.68
13,34,0.68,-0.13
13,35,1,0.43
13,36,4.52,-0.01
13,37,1.22,-1.05
13,38,0.19,1.49
13,39,0.04,0.04
13,40,1.14,-0.23
13,41,1.4,0.87
13,42,-0.53,0.52
13,43,-0.2,1.23
13,44,0.06,2.98
13,45,0.65,0.3
13,46,1.68,-0.2
13,47,1.18,0.46
13,48,2.22,1.32
13,49,1.53,0.9
14,0,-0.55,0.76
14,1,3.77,-0.35
14,2,-0.31,-0.36
14,3,-0.22,1.02
14,4,0.49,-0.6
14,5,-0.7,0.26
14,6,-0.15,0.65
14,7,0.97,0.17
14,8,0.35,-0.17
14,9,0.26,-0.2
14,10,1.05,1.96
14,11,0.56,-0.08
14,12,-0.25,-0.3
14,13,0.29,1.18
14,14,0.83,-0.89
14,15,-0.07,1.24
14,16,-0.14,0.91
14,17,1.07,0.52
14,18,0.03,-0.14
14,19,1.08,0.61
14,20,-0.52,-0.24
14,21,0.14,2.11
14,22,1.81,-0.08
14,23,1.78,1.5
14,24,0.06,-0.02
14,25,-0.35,-0.89
14,26,-0.67,5.47
14,27,0.19,-0.46
14,28,0.07,0.78
14,29,-0.25,1.41
14,30,-0.97,-0.21
14,31,0.23,0.79
14,32,-0.26,-0.08
14,33,-0.3,0.24
14,34,0.73,0.43
14,35,0.47,0.66
14,36,0.63,-0.9
14,37,0.3,0.62
14,38,-0.59,2.18
14,39,-0.17,-0.73
14,40,1.03,1.17
14,41,-0.06,0.68
14,42,0.43,0.87
14,43,-0.56,1.25
14,44,0.11,3.55
14,45,0.33,1.28
14,46,1.4,0.86
14,47,0.97,0.37
14,48,-0.15,1.04
14,49,1.55,1.97
15,0,1.71,-0.08
15,1,1.82,-0.51
15,2,0.37,0.42
15,3,-0.47,0.99
15,4,-0.32,-0.43
15,5,-0.1,0.33
15,6,-0.55,-0.02
15,7,2.15,0.06
15,8,-0.2,-0.23
15,9,2.73,0.77
15,10,-0.45,4.03
15,11,0.26,-0.31
15,12,0.7,0.05
15,13,0.15,0.26
15,14,1.31,0.44
15,15,-1.22,-0.1
15,16,-0.42,0.74
15,17,0.37,1.94
15,18,1.07,-0.42
15,19,1.4,-0.51
15,20,0.79,-0.17
15,21,0.08,2.6
15,22,0.93,-0.09
15,23,3.9,0.63
15,24,-0.12,1.9
15,25,-0.16,0.08
15,26,-0.17,3.47
15,27,1.53,-0.38
15,28,-0.03,-0.68
15,29,0.46,-0.14
15,30,0,1.02
15,31,2.19,-0.83
15,32,0.84,0.32
15,33,0.05,0.51
15,34,1.74,-0.04
15,35,0.81,2.8
15,36,0.42,-0.26
15,37,2.05,1.32
15,38,-0.58,1.06
15,39,0.53,-0.05
15,40,1.68,1.63
15,41,0.08,3.76
15,42,0.68,2.13
15,43,1.24,2.62
15,44,0.31,-0.24
15,45,1.93,0.44
15,46,1.58,1.86
15,47,-0.71,2.2
15,48,1.12,1.65
15,49,2.58,0.09
16,0,1.28,0.26
16,1,2.54,-0.63
16,2,0.44,-0.19
16,3,-0.37,0.4
16,4,0.61,0.01
16,5,-0.51,0.28
16,6,-0.12,-0.24
16,7,0.01,-0.48
16,8,0.94,-0.35
16,9,1.62,0.8
16,10,0.49,3.7
16,11,-0.69,-0.56
16,12,-0.41,-0.42
16,13,1.08,0.75
16,14,1.63,0.24
16,15,-0.31,-0.59
16,16,-0.04,1.61
16,17,-0.56,-0.41
16,18,0.84,-0.21
16,19,0.61,-0.47
16,20,1.58,-0.25
16,21,-0.54,0.28
16,22,1.78,0.46
16,23,2.73,0.26
16,24,1.16,1.2
16,25,0.31,-0.37
16,26,-1.18,5.14
16,27,2.15,-0.46
16,28,-0.16,-0.03
16,29,-1.09,-0.37
16,30,0.56,0.11
16,31,0.31,2.94
16,32,0.75,0.52
16,33,0.21,0.64
16,34,0.11,-0.51
16,35,0.11,0.75
16,36,1.15,-0.35
16,37,1.22,-0.62
16,38,-0.5,0.42
16,39,0.13,0.64
16,40,0.41,2.82
16,41,0.1,1.59
16,42,1.48,0.95
16,43,0.21,4.51
16,44,0.21,1.12
16,45,1.52,0.84
16,46,-0.86,2.58
16,47,0.6,0.21
16,48,0.17,0.89
16,49,-0.1,3.21
17,0,1.24,-0.61
17,1,3.97,-0.37
17,2,-0.09,-0.3
17,3,-0.07,-0.37
17,4,0.83,-0.44
17,5,0.23,1.01
17,6,-0.1,-0.45
17,7,0.27,0.24
17,8,0.42,-0.69
17,9,0.74,0.93
17,10,1.69,1.24
17,11,0.69,0.41
17,12,-0.02,-0.3
17,13,-0.44,0.23
17,14,2.59,-0.81
17,15,-0.75,0.43
17,16,-0.37,1.36
17,17,-0.22,0.1
17,18,-0.12,-0.29
17,19,0.44,-0.18
17,20,-0.11,0.77
17,21,0.3,0.15
17,22,1.58,-0.78
17,23,2.4,0.03
17,24,1.17,-0.35
17,25,0.37,0.17
17,26,-1.12,4.75
17,27,2.37,-0.44
17,28,1.23,0.35
17,29,-0.49,-0.38
17,30,0.64,1.31
17,31,-0.17,3.02
17,32,-0.31,1.39
17,33,0.11,-0.12
17,34,0.11,-0.38
17,35,2.76,0.96
17,36,0.04,0.22
17,37,1.41,-0.39
17,38,-0.74,0.58
17,39,0.18,-1.15
17,40,-0.9,1.05
17,41,-1.53,3.22
17,42,0.68,0.46
17,43,-0.31,1.79
17,44,1.4,0.81
17,45,0.05,-0.27
17,46,-0.59,4.49
17,47,-0.4,-0.63
17,48,-0.43,1.71
17,49,-0.78,3.14
18,0,1.76,-0.62
18,1,3.59,-0.84
18,2,0.28,-0.07
18,3,-0.75,-0.36
18,4,1.9,-0.65
18,5,-0.67,0.4
18,6,-0.49,0.64
18,7,0.08,-1
18,8,1.84,0.17
18,9,0.44,0.09
18,10,-0.76,3.83
18,11,0.39,-0.84
18,12,0.56,-0.63
18,13,2,-0.13
18,14,-0.57,-1.05
18,15,-0.74,-0.92
18,16,-0.15,0.97
18,17,0.44,-0.83
18,18,1.05,-0.26
18,19,2.77,-0.03
18,20,-0.24,-0.66
18,21,-0.49,0.64
18,22,2.8,-1
18,23,2.45,-0.51
18,24,2.03,-0.02
18,25,0.39,-0.49
18,26,-0.63,2.61
18,27,0.74,0.17
18,28,-0.32,-0.4
18,29,-0.59,2.41
18,30,1.51,-0.33
18,31,0.59,1.44
18,32,-0.82,-0.74
18,33,-0.25,0.17
18,34,3.47,-0.45
18,35,-0.76,5.15
18,36,2.33,0.13
18,37,-0.09,-0.94
18,38,-0.36,1.18
18,39,-0.89,0.24
18,40,2.25,0.66
18,41,-0.19,1.05
18,42,-0.37,3.29
18,43,1.26,1.86
18,44,0.5,2.44
18,45,0.16,1.18
18,46,1.41,0.37
18,47,0.23,4.54
18,48,1.69,0.85
18,49,0.84,1.33
19,0,4.48,-0.05
19,1,2.43,-1.31
19,2,0.02,-0.37
19,3,0.16,1.49
19,4,1.55,0.24
19,5,0.24,1.25
19,6,-0.04,-1.02
19,7,2.2,-0.22
19,8,2.22,-0.87
19,9,3.61,-0.26
19,10,0.5,3.57
19,11,2.98,-0.1
19,12,3.15,0.16
19,13,2.11,-0.29
19,14,2.27,-0.56
19,15,-0.1,0.08
19,16,0.51,-0.1
19,17,2.32,-0.1
19,18,3.31,0.31
19,19,2.61,-0.28
19,20,1,-0.45
19,21,1.86,-0.63
19,22,3.56,-0.48
19,23,2.58,0.06
